Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_16S_47_S42_L001_R1_001	(1.0, 6.6569088820543225)	(2.0, 2.3474265387038207)	(3.0, 1.1783451291362508)	(4.0, 0.8411457368362544)	(5.0, 0.7642568644162004)	(6.0, 0.5113573201912032)	(7.0, 0.4993144847519176)	(8.0, 0.4224256123318635)	(9.0, 0.45021677103790714)	('>10', 10.279949605365546)	('>50', 6.471634490680699)	('>100', 23.03794419535332)	('>500', 19.874383962648682)	('>1k', 26.664690406492014)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_47_S42_L001_R2_001	(1.0, 8.904287249416386)	(2.0, 2.399303368288435)	(3.0, 1.2506021417719642)	(4.0, 0.8893170785933968)	(5.0, 0.7735205839848815)	(6.0, 0.6002890280505428)	(7.0, 0.6225219550153778)	(8.0, 0.4817134175714233)	(9.0, 0.5586022899914774)	('>10', 12.135472634972395)	('>50', 9.770445029088078)	('>100', 36.3100752214029)	('>500', 12.911772334827882)	('>1k', 12.392077667024864)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_48_S48_L001_R1_001	(1.0, 6.194640759319)	(2.0, 2.2041135994927927)	(3.0, 1.2475059205251084)	(4.0, 0.9696608051914147)	(5.0, 0.8158203889831614)	(6.0, 0.5817964831148489)	(7.0, 0.7048688160814516)	(8.0, 0.4624536147835978)	(9.0, 0.4195647714770545)	('>10', 11.072780502358887)	('>50', 6.489268465511776)	('>100', 22.041135994927927)	('>500', 18.05900013053126)	('>1k', 28.73738974770172)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_48_S48_L001_R2_001	(1.0, 8.924608872396368)	(2.0, 2.4372051392022676)	(3.0, 1.373375351968225)	(4.0, 1.059167956439853)	(5.0, 0.8577768661308669)	(6.0, 0.7104630130344789)	(7.0, 0.646129748074664)	(8.0, 0.663844705092584)	(9.0, 0.570608089208794)	('>10', 13.776642362988792)	('>50', 8.52835325489026)	('>100', 33.07848658325098)	('>500', 9.833665877263318)	('>1k', 17.539672180058552)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_29_S42_L001_R1_001	(1.0, 9.753501955155174)	(2.0, 2.97975548185913)	(3.0, 1.7225164579517893)	(4.0, 1.5146265406127801)	(5.0, 1.126070385586299)	(6.0, 0.9206553482156115)	(7.0, 0.8315596693560362)	(8.0, 0.6929663911300301)	(9.0, 0.6682175914468148)	('>10', 14.938375488788793)	('>50', 10.426669306538633)	('>100', 28.08741276048112)	('>500', 5.375439291194377)	('>1k', 20.962233331683414)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_29_S42_L001_R2_001	(1.0, 16.33420779092214)	(2.0, 3.5687769143196553)	(3.0, 2.0046527743404443)	(4.0, 1.5542246201059249)	(5.0, 1.0394495866950453)	(6.0, 0.9355046280255408)	(7.0, 0.9528287878037914)	(8.0, 0.752363510369747)	(9.0, 0.7573132703063901)	('>10', 18.153244567638467)	('>50', 12.416472801069148)	('>100', 26.382220462307576)	('>500', 8.293322773845468)	('>1k', 6.855417512250655)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_30_S50_L001_R1_001	(1.0, 9.751223898491359)	(2.0, 3.5927665101408732)	(3.0, 1.5106404236187432)	(4.0, 1.3347986811869317)	(5.0, 1.0690378659206714)	(6.0, 0.815266260365671)	(7.0, 0.9371565590968128)	(8.0, 0.9271655510040963)	(9.0, 0.7553202118093716)	('>10', 15.699870116894795)	('>50', 9.769207713058247)	('>100', 29.76920771305825)	('>500', 5.369167749025876)	('>1k', 18.699170746328306)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_30_S50_L001_R2_001	(1.0, 11.012089119792186)	(2.0, 3.8924967529223697)	(3.0, 1.8223598761114999)	(4.0, 1.3268058747127585)	(5.0, 1.1789389549405536)	(6.0, 0.9111799380557499)	(7.0, 1.0350684384054352)	(8.0, 0.8632230992107104)	(9.0, 0.9171745429113797)	('>10', 19.676291337795984)	('>50', 13.981416724947549)	('>100', 30.944150264761717)	('>500', 7.475272254970526)	('>1k', 4.963532820461585)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_31_S59_L001_R1_001	(1.0, 8.821232238877707)	(2.0, 3.2172789810447897)	(3.0, 1.4644477154615638)	(4.0, 1.315749947430082)	(5.0, 0.8861786175613565)	(6.0, 0.8020667487758719)	(7.0, 0.5677551143020216)	(8.0, 0.4325753251824927)	(9.0, 0.5542371353900688)	('>10', 13.526990897894201)	('>50', 7.141998858481781)	('>100', 25.759259815554685)	('>500', 14.133797951275195)	('>1k', 21.37643065276818)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_31_S59_L001_R2_001	(1.0, 10.24813001291718)	(2.0, 3.490642554597615)	(3.0, 1.6627114061702066)	(4.0, 1.1835741536243203)	(5.0, 0.9687884886899577)	(6.0, 0.7479948331280603)	(7.0, 0.7780347862657334)	(8.0, 0.7810387815795007)	(9.0, 0.6218270299498333)	('>10', 16.18552675057827)	('>50', 12.19171498092463)	('>100', 30.230706840097334)	('>500', 12.818048003845114)	('>1k', 8.091261377632252)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_32_S68_L001_R1_001	(1.0, 9.03500356677244)	(2.0, 3.0059282217794503)	(3.0, 1.4685263080215483)	(4.0, 0.9298206774407793)	(5.0, 0.9101419329446782)	(6.0, 0.7969891520920966)	(7.0, 0.6887560573635402)	(8.0, 0.600201707131085)	(9.0, 0.45384104494133276)	('>10', 12.611615378938822)	('>50', 8.502447543846703)	('>100', 26.194868767372643)	('>500', 16.87206356234472)	('>1k', 17.92979607901016)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_32_S68_L001_R2_001	(1.0, 10.672029124541854)	(2.0, 3.0944825720119056)	(3.0, 1.597668068777212)	(4.0, 1.2545199616264482)	(5.0, 0.9470395788748677)	(6.0, 0.8560253855803999)	(7.0, 0.7920694659680712)	(8.0, 0.7182741741076919)	(9.0, 0.6752269205224707)	('>10', 15.525299485892798)	('>50', 12.146705040218434)	('>100', 33.21157110176371)	('>500', 13.261013947310163)	('>1k', 5.248075172803976)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_33_S5_L001_R1_001	(1.0, 6.660251851232063)	(2.0, 2.9954399029410532)	(3.0, 1.79475379659457)	(4.0, 1.467040399391987)	(5.0, 1.2132368321967952)	(6.0, 1.1797682299292975)	(7.0, 0.8395041068764032)	(8.0, 0.8590274581991103)	(9.0, 0.7279420993180772)	('>10', 18.317087115982652)	('>50', 12.713885286365729)	('>100', 26.505738470763777)	('>500', 14.819618179029131)	('>1k', 9.906706271179349)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_33_S5_L001_R2_001	(1.0, 7.591794614344086)	(2.0, 3.115369061066254)	(3.0, 1.9913818349161192)	(4.0, 1.3666345925894936)	(5.0, 1.1086474501108647)	(6.0, 1.1379324770949253)	(7.0, 1.0249759444421203)	(8.0, 0.8144026551757799)	(9.0, 0.7028406476174539)	('>10', 15.53222050230794)	('>50', 10.276255421216304)	('>100', 33.641523379213204)	('>500', 10.557949490301077)	('>1k', 11.138071929604374)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_34_S14_L001_R1_001	(1.0, 6.175317339004453)	(2.0, 2.8603708380408053)	(3.0, 1.5710772911543829)	(4.0, 1.08991825613079)	(5.0, 0.9702930816774109)	(6.0, 0.9171263374759089)	(7.0, 0.8280720409383929)	(8.0, 0.8719346049046321)	(9.0, 0.8493387386189938)	('>10', 16.532199109457036)	('>50', 9.277596863162092)	('>100', 33.533594736492326)	('>500', 10.742340665913472)	('>1k', 13.78082009702931)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_34_S14_L001_R2_001	(1.0, 6.928955938060744)	(2.0, 3.1368379078886157)	(3.0, 2.005715425001662)	(4.0, 1.35043530271815)	(5.0, 1.1032099421811656)	(6.0, 1.0208014886688377)	(7.0, 0.9118096630557586)	(8.0, 0.648634279258324)	(9.0, 0.7895261513923042)	('>10', 14.122416428523959)	('>50', 10.56423207283844)	('>100', 30.17877317737755)	('>500', 18.713364790323652)	('>1k', 8.525287432710838)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_35_S23_L001_R1_001	(1.0, 5.70053172267823)	(2.0, 2.519229776469981)	(3.0, 1.4093232151153787)	(4.0, 1.1408806979505446)	(5.0, 0.825976975891797)	(6.0, 0.7433792783026173)	(7.0, 0.5872180062980744)	(8.0, 0.6711062929120851)	(9.0, 0.7549945795260957)	('>10', 13.806721387641318)	('>50', 8.489494605337876)	('>100', 28.981467141603428)	('>500', 14.56816891229157)	('>1k', 19.801507407981003)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_35_S23_L001_R2_001	(1.0, 7.23504207320221)	(2.0, 2.707655774095297)	(3.0, 1.2776831345826234)	(4.0, 0.9860100149708327)	(5.0, 0.7356357441536318)	(6.0, 0.6117391977698622)	(7.0, 0.5330132672551753)	(8.0, 0.5162356099323732)	(9.0, 0.5807650611739198)	('>10', 13.880284962056683)	('>50', 9.773630685044655)	('>100', 42.384234164472666)	('>500', 15.07924216612462)	('>1k', 3.6988281451654537)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_36_S32_L001_R1_001	(1.0, 5.452195287336837)	(2.0, 2.3690456009493133)	(3.0, 1.3381505339888116)	(4.0, 1.1230717070689948)	(5.0, 0.8423037803017461)	(6.0, 0.731056111205289)	(7.0, 0.6897355483980336)	(8.0, 0.5339888116629937)	(9.0, 0.5435243261569758)	('>10', 14.549076114595694)	('>50', 9.208128496355314)	('>100', 28.56628242074928)	('>500', 11.942702152907273)	('>1k', 22.110739108323443)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_16S_36_S32_L001_R2_001	(1.0, 6.63989659264282)	(2.0, 2.627563993897271)	(3.0, 1.4557552127479234)	(4.0, 1.038311578233599)	(5.0, 1.0118240379725376)	(6.0, 0.8264112561451092)	(7.0, 0.660069503305645)	(8.0, 0.8306492625868791)	(9.0, 0.5149177826750296)	('>10', 13.460967960671299)	('>50', 10.135192405492456)	('>100', 34.08628581115443)	('>500', 16.605568740464484)	('>1k', 10.10658586201051)	('>5k', 0.0)	('>10k+', 0.0)
