pathway	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
ARGSYNBSUB-PWY	62797.43101055647	64388.30822155268	53769.532196011074	53787.60115462507	63873.82875028349	60902.3186696194	11047.565720334505	30454.73920202628	41174.074451630295	49746.435779884094	50437.74135367883	58902.24707617294	76463.3087881786	55508.75080536896	44145.1008066898	44346.69605984479	36477.22846219089	63613.71624340205	36095.480197371544	74763.66057967456	74478.92563938365
ARO-PWY	61858.57063719831	62387.344655132096	53229.47339048059	54229.415803197655	62090.85412951165	60004.55650188859	10509.562537701557	29656.126910696345	40278.07615038683	48822.066354622264	49458.46517941457	58673.60973566278	76981.09623270165	55446.365273677584	44295.01976944734	45389.99210944186	37055.99689189102	64617.89438339271	36439.3038238881	75446.2543135888	75305.38066535351
ASPASN-PWY	10869.39832446802	9236.662016978995	14585.375324961182	14421.453413268122	9789.63262563066	13179.44423752994	2904.300976431297	5053.199971899546	7900.476980440751	9445.3541949194	7320.52312167999	12113.976518131418	16021.670259626588	11545.748821395418	8900.325290375118	10632.111922567783	8162.99999881989	15515.420622300931	6052.135524714935	13257.381068678274	13178.699258382832
AST-PWY	2214.3496501219847	1168.8910053186387	1892.1545896247994	804.5850069982394	1451.6933245340138	2380.086531022974	186.06562084310508	627.721283062533	945.8691954547937	1350.5982459040847	1141.1345635765442	2101.1538136126633	2156.428825683435	1333.5915800143569	1075.9581890120478	992.4992778100433	687.0774994692383	1105.0814009290632	891.016930624693	2113.741736116808	2008.3961629631765
BENZCOA-PWY	14.080241815585993	0.0	32.55853228651541	0.0	0.0	10.561291654827857	0.0	7.25088723032374	0.0	19.659601359948518	0.0	38.22868920351444	143.58417029887818	97.08382888293899	0.0	99.53090060585683	87.83789606285706	128.5632065025224	0.0	128.79480958015523	48.524012094831185
BIOTIN-BIOSYNTHESIS-PWY	18961.29097161766	17600.547158490364	16454.669687942805	17965.120899178273	15883.013332434582	19455.631381673706	1694.7193041788448	7712.543326842591	9474.691709666895	12719.715820163658	10489.784326208815	15968.473098072493	26588.48016810849	19021.505703951265	15150.32656899026	14413.57240126248	11970.20793045012	20837.02073891733	10465.551535255054	22713.104615225653	22867.79323126657
BRANCHED-CHAIN-AA-SYN-PWY	89573.46354047518	89664.70970448229	76717.55102655574	74183.38074035478	91456.17941127434	86672.63762953592	15377.235534620353	43475.82366617684	59878.11419009126	71360.03546259861	74111.80809517903	87181.03290319433	111429.71874081109	80816.2928378345	64439.18363084499	65654.94438861449	53806.82660813913	93497.33582729119	53771.42293505937	111208.44252201398	110551.08030370226
CALVIN-PWY	63524.30890713006	64527.25843997598	55013.65476644886	56324.3012944642	64005.03934087994	62015.03846792985	11107.467701196552	30799.712130420907	42293.79658764799	50233.04961593196	50865.65560418016	61212.28907949743	79557.07172519305	57538.810384268174	45644.8822692255	47310.499879354735	38271.561136570446	67561.92941518358	37548.13339994326	77869.37272447387	77412.49084733384
CATECHOL-ORTHO-CLEAVAGE-PWY	3174.322719451634	2510.1434897302156	2638.258191251455	2022.0875469261757	3021.702015573103	3046.3493531646486	420.350220375225	1279.1079493634454	1609.5696792232093	2248.4782789578635	2161.0484817249107	3368.038206703408	3652.7726253460264	2460.891112772552	2068.6589930086952	2079.534425586022	1762.173092795016	3047.6018184404147	2155.709313612324	4320.070729441683	3897.8496980166638
CENTBENZCOA-PWY	9.70414201183432	0.6652806652806652	22.759358288770056	0.0	17.5	7.198664440734556	0.0	5.5	4.5602605863192185	13.794594594594594	20.0	34.43836498229804	258.25	181.75	143.5	139.25	120.25	216.0	122.24999999999999	196.25	216.75
