OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	734.0	612.0	198.0	622.0	628.0	624.0	184.0	469.0	662.0	717.0	765.0	1091.0	1097.0	771.0	586.0	724.0	678.0	1035.0	432.0	1000.0	989.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14	1892.0	2579.0	2280.0	1449.0	2580.0	2972.0	713.0	1214.0	2184.0	2155.0	2613.0	1535.0	1748.0	1449.0	1138.0	1307.0	1049.0	1790.0	1263.0	2430.0	2431.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	602.0	364.0	781.0	285.0	507.0	540.0	99.0	167.0	232.0	330.0	316.0	534.0	1648.0	1047.0	815.0	1061.0	745.0	1291.0	806.0	1721.0	1836.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	405.0	465.0	195.0	369.0	887.0	322.0	137.0	289.0	494.0	537.0	1247.0	823.0	545.0	479.0	430.0	219.0	181.0	378.0	567.0	978.0	903.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	625.0	151.0	639.0	303.0	496.0	475.0	155.0	134.0	428.0	546.0	739.0	1337.0	496.0	438.0	314.0	579.0	441.0	882.0	547.0	917.0	792.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group	803.0	974.0	728.0	250.0	1411.0	888.0	100.0	678.0	413.0	1616.0	920.0	602.0	1656.0	1077.0	926.0	910.0	807.0	1170.0	1373.0	2719.0	2547.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae	689.0	187.0	465.0	149.0	456.0	374.0	79.0	160.0	269.0	352.0	429.0	592.0	656.0	413.0	474.0	269.0	220.0	405.0	287.0	605.0	698.0
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108	586.0	1738.0	692.0	367.0	868.0	770.0	187.0	857.0	1149.0	727.0	323.0	337.0	283.0	258.0	265.0	256.0	263.0	349.0	86.0	113.0	101.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	24.0	1.0	52.0	1.0	47.0	12.0	1.0	12.0	22.0	37.0	47.0	63.0	673.0	464.0	380.0	350.0	326.0	549.0	298.0	456.0	531.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured	3056.0	3356.0	2190.0	1700.0	3372.0	2418.0	352.0	1287.0	825.0	1769.0	1332.0	982.0	3267.0	2346.0	1808.0	1314.0	1193.0	1878.0	1377.0	2744.0	2774.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722	372.0	446.0	350.0	600.0	460.0	378.0	32.0	157.0	282.0	400.0	287.0	460.0	522.0	404.0	303.0	454.0	397.0	508.0	215.0	501.0	531.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured	604.0	1064.0	358.0	340.0	1277.0	381.0	114.0	612.0	594.0	337.0	790.0	471.0	445.0	421.0	329.0	246.0	246.0	449.0	267.0	517.0	444.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae	1092.0	1305.0	593.0	448.0	1583.0	1348.0	137.0	1009.0	981.0	1235.0	1276.0	1586.0	1056.0	815.0	754.0	559.0	506.0	880.0	441.0	924.0	903.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae	158.0	250.0	501.0	1946.0	1.0	45.0	1.0	4.0	18.0	92.0	1.0	4.0	272.0	284.0	164.0	166.0	146.0	283.0	64.0	164.0	231.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__	117.0	117.0	177.0	139.0	65.0	186.0	55.0	71.0	118.0	151.0	53.0	160.0	173.0	158.0	113.0	104.0	118.0	179.0	28.0	50.0	58.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085	193.0	628.0	237.0	377.0	606.0	276.0	42.0	228.0	297.0	361.0	115.0	175.0	154.0	86.0	94.0	98.0	137.0	208.0	67.0	193.0	141.0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae	432.0	285.0	239.0	217.0	278.0	225.0	7.0	140.0	112.0	119.0	135.0	57.0	380.0	228.0	192.0	172.0	127.0	187.0	195.0	373.0	349.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae	567.0	727.0	377.0	543.0	331.0	576.0	26.0	247.0	168.0	222.0	62.0	25.0	336.0	276.0	185.0	85.0	63.0	132.0	38.0	47.0	49.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	268.0	404.0	293.0	389.0	392.0	450.0	92.0	294.0	385.0	305.0	240.0	900.0	507.0	391.0	255.0	307.0	225.0	428.0	128.0	251.0	233.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae	621.0	510.0	499.0	396.0	573.0	566.0	26.0	161.0	191.0	445.0	395.0	449.0	1095.0	821.0	738.0	469.0	368.0	702.0	387.0	741.0	808.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae	106.0	81.0	122.0	258.0	103.0	169.0	24.0	47.0	152.0	62.0	149.0	591.0	220.0	196.0	198.0	110.0	87.0	238.0	39.0	52.0	44.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Woeseiaceae	123.0	141.0	307.0	175.0	177.0	320.0	1.0	74.0	123.0	178.0	28.0	17.0	192.0	160.0	115.0	263.0	236.0	342.0	28.0	37.0	33.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae	278.0	233.0	133.0	83.0	208.0	236.0	25.0	81.0	127.0	261.0	199.0	578.0	961.0	450.0	447.0	463.0	296.0	578.0	412.0	845.0	928.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae	95.0	179.0	107.0	24.0	134.0	79.0	1.0	100.0	81.0	70.0	64.0	165.0	209.0	158.0	138.0	141.0	114.0	177.0	96.0	194.0	229.0
d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14	139.0	273.0	68.0	159.0	208.0	134.0	36.0	120.0	97.0	86.0	73.0	96.0	100.0	96.0	92.0	80.0	75.0	108.0	36.0	65.0	88.0
d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136	243.0	400.0	190.0	247.0	362.0	180.0	91.0	293.0	165.0	353.0	450.0	234.0	204.0	106.0	133.0	147.0	174.0	220.0	86.0	223.0	169.0
