OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	236.0	295.0	306.0	883.0	265.0	376.0	95.0	139.0	387.0	368.0	144.0	233.0	427.0	286.0	181.0	194.0	151.0	377.0	59.0	171.0	180.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae	198.0	231.0	95.0	86.0	112.0	356.0	25.0	47.0	100.0	147.0	229.0	295.0	554.0	252.0	302.0	205.0	124.0	207.0	139.0	188.0	183.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	137.0	136.0	23.0	51.0	73.0	112.0	1.0	41.0	32.0	49.0	58.0	94.0	208.0	107.0	78.0	67.0	38.0	82.0	57.0	146.0	151.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae	194.0	348.0	247.0	1155.0	469.0	202.0	1.0	183.0	259.0	249.0	396.0	486.0	270.0	237.0	167.0	142.0	75.0	135.0	144.0	253.0	305.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae	94.0	102.0	8.0	82.0	99.0	43.0	1.0	53.0	18.0	6.0	29.0	24.0	43.0	37.0	33.0	11.0	1.0	1.0	10.0	19.0	19.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae	149.0	46.0	90.0	21.0	59.0	66.0	1.0	13.0	44.0	36.0	149.0	152.0	48.0	51.0	66.0	58.0	89.0	95.0	1.0	86.0	70.0
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7	549.0	150.0	974.0	84.0	98.0	269.0	61.0	140.0	80.0	354.0	110.0	254.0	319.0	231.0	169.0	339.0	223.0	352.0	239.0	550.0	579.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae	545.0	287.0	341.0	120.0	286.0	536.0	1.0	95.0	242.0	412.0	241.0	826.0	933.0	708.0	562.0	472.0	373.0	810.0	438.0	972.0	990.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae	61.0	46.0	122.0	42.0	135.0	119.0	1.0	27.0	44.0	53.0	152.0	65.0	58.0	36.0	53.0	121.0	121.0	199.0	43.0	79.0	56.0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae	34.0	28.0	46.0	15.0	78.0	27.0	1.0	6.0	21.0	35.0	90.0	43.0	146.0	133.0	100.0	91.0	45.0	118.0	153.0	270.0	281.0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales	68.0	137.0	52.0	27.0	76.0	47.0	10.0	44.0	24.0	8.0	14.0	33.0	1.0	17.0	20.0	13.0	14.0	28.0	1.0	8.0	10.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Caloramatoraceae	13.0	18.0	1.0	1.0	19.0	9.0	1.0	1.0	10.0	1.0	10.0	13.0	400.0	258.0	188.0	477.0	330.0	610.0	213.0	356.0	380.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae	54.0	8.0	102.0	76.0	25.0	65.0	1.0	1.0	26.0	31.0	28.0	82.0	135.0	151.0	111.0	136.0	96.0	218.0	68.0	146.0	165.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae	104.0	15.0	35.0	31.0	13.0	73.0	1.0	9.0	18.0	1.0	9.0	36.0	215.0	142.0	101.0	143.0	96.0	106.0	62.0	138.0	134.0
d__Bacteria;p__Actinobacteriota;__;__;__	64.0	56.0	47.0	85.0	42.0	51.0	15.0	47.0	72.0	52.0	74.0	19.0	37.0	41.0	33.0	77.0	61.0	64.0	25.0	45.0	66.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae	15.0	1.0	5.0	13.0	6.0	4.0	1.0	1.0	22.0	1.0	1.0	47.0	175.0	80.0	108.0	68.0	52.0	132.0	58.0	94.0	91.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;__	1.0	1.0	3.0	327.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	48.0	55.0	1.0	65.0	50.0	88.0	28.0	42.0	58.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	64.0	55.0	25.0	116.0	93.0	158.0	59.0	134.0	126.0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae	218.0	128.0	135.0	112.0	165.0	205.0	1.0	88.0	102.0	157.0	120.0	174.0	232.0	162.0	129.0	77.0	71.0	166.0	187.0	380.0	357.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae	97.0	103.0	345.0	174.0	13.0	104.0	16.0	14.0	60.0	31.0	36.0	101.0	144.0	67.0	50.0	209.0	97.0	250.0	43.0	110.0	91.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales	51.0	20.0	28.0	45.0	13.0	39.0	1.0	19.0	18.0	1.0	11.0	10.0	46.0	37.0	34.0	24.0	1.0	29.0	1.0	1.0	15.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family	41.0	114.0	42.0	86.0	39.0	82.0	13.0	38.0	20.0	24.0	34.0	50.0	76.0	73.0	50.0	1.0	17.0	21.0	5.0	35.0	34.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Oxyphotobacteria_Incertae_Sedis;f__Unknown_Family	1.0	1.0	192.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	1.0	1.0	1.0	1.0	1.0	78.0	49.0	79.0	1.0	1.0	9.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae	28.0	38.0	47.0	35.0	14.0	45.0	1.0	22.0	31.0	29.0	16.0	19.0	85.0	79.0	36.0	70.0	46.0	98.0	28.0	48.0	65.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae	395.0	148.0	667.0	182.0	147.0	608.0	25.0	32.0	114.0	154.0	194.0	393.0	457.0	304.0	278.0	358.0	286.0	481.0	325.0	792.0	800.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales	60.0	27.0	59.0	19.0	20.0	38.0	12.0	21.0	16.0	45.0	20.0	47.0	111.0	76.0	43.0	85.0	66.0	133.0	29.0	81.0	67.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	17.0	61.0	97.0	38.0	91.0	15.0	13.0	42.0	29.0	134.0	11.0	22.0	116.0	99.0	90.0	33.0	87.0	163.0	107.0	121.0	153.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae	115.0	91.0	71.0	1.0	116.0	119.0	23.0	80.0	95.0	78.0	97.0	136.0	111.0	71.0	36.0	67.0	52.0	111.0	29.0	71.0	71.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae	7.0	1.0	10.0	1.0	6.0	1.0	1.0	1.0	5.0	18.0	1.0	10.0	84.0	50.0	20.0	267.0	203.0	348.0	21.0	46.0	21.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae	43.0	30.0	26.0	1.0	26.0	44.0	1.0	16.0	21.0	89.0	25.0	49.0	85.0	53.0	31.0	52.0	52.0	47.0	70.0	136.0	134.0
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	6.0	21.0	22.0	52.0	58.0	114.0	92.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	26.0	17.0	56.0	25.0	40.0	51.0	1.0	8.0	36.0	60.0	54.0	42.0	87.0	89.0	76.0	64.0	49.0	83.0	1.0	53.0	44.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	31.0	22.0	17.0	36.0	44.0	50.0	94.0	110.0	133.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae	109.0	91.0	38.0	151.0	22.0	104.0	1.0	21.0	27.0	59.0	10.0	56.0	125.0	51.0	60.0	43.0	21.0	20.0	9.0	79.0	76.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales	96.0	126.0	63.0	90.0	35.0	27.0	8.0	24.0	56.0	105.0	67.0	190.0	107.0	78.0	38.0	62.0	91.0	138.0	99.0	183.0	180.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Gracilibacteraceae	22.0	9.0	46.0	71.0	19.0	40.0	11.0	1.0	13.0	23.0	1.0	12.0	201.0	119.0	104.0	107.0	47.0	155.0	64.0	129.0	165.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84	163.0	134.0	136.0	114.0	162.0	175.0	1.0	92.0	83.0	129.0	119.0	136.0	247.0	199.0	174.0	85.0	78.0	91.0	75.0	217.0	167.0
d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales;f__Sumerlaeaceae	113.0	73.0	64.0	98.0	88.0	143.0	1.0	50.0	37.0	185.0	101.0	85.0	76.0	90.0	48.0	50.0	44.0	98.0	19.0	79.0	59.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__DS-100;f__DS-100	85.0	73.0	80.0	56.0	93.0	95.0	13.0	38.0	25.0	57.0	32.0	27.0	113.0	83.0	70.0	84.0	52.0	85.0	28.0	81.0	94.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__B1-7BS	25.0	10.0	13.0	21.0	32.0	14.0	1.0	13.0	20.0	40.0	13.0	14.0	20.0	22.0	29.0	11.0	18.0	22.0	14.0	29.0	22.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Chloroflexaceae	83.0	29.0	42.0	52.0	21.0	18.0	1.0	1.0	36.0	94.0	47.0	210.0	114.0	48.0	69.0	73.0	23.0	44.0	62.0	137.0	171.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaerales	12.0	33.0	23.0	1.0	23.0	17.0	1.0	16.0	6.0	10.0	11.0	6.0	25.0	14.0	11.0	23.0	9.0	17.0	15.0	37.0	35.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae	27.0	13.0	1.0	49.0	31.0	14.0	20.0	9.0	13.0	21.0	15.0	33.0	42.0	37.0	27.0	12.0	11.0	21.0	16.0	36.0	24.0
d__Bacteria;p__Gemmatimonadota;c__AKAU4049;o__AKAU4049;f__AKAU4049	50.0	30.0	13.0	20.0	16.0	56.0	1.0	26.0	26.0	18.0	1.0	1.0	16.0	17.0	10.0	14.0	13.0	10.0	1.0	3.0	1.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__	24.0	40.0	1.0	1.0	17.0	29.0	1.0	19.0	37.0	37.0	1.0	60.0	25.0	44.0	51.0	1.0	1.0	3.0	11.0	29.0	23.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	18.0	38.0	11.0	50.0	34.0	1.0	1.0	11.0	17.0	3.0	46.0	89.0	90.0	49.0	37.0	32.0	22.0	52.0	85.0	186.0	176.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae	54.0	1.0	57.0	13.0	7.0	35.0	1.0	1.0	1.0	5.0	1.0	23.0	1.0	1.0	1.0	1.0	7.0	6.0	91.0	163.0	160.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae	1.0	5.0	1.0	55.0	21.0	22.0	1.0	1.0	1.0	1.0	13.0	24.0	128.0	88.0	85.0	91.0	51.0	94.0	1.0	48.0	40.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14	282.0	156.0	153.0	41.0	64.0	78.0	12.0	75.0	60.0	135.0	6.0	18.0	91.0	52.0	38.0	68.0	40.0	71.0	7.0	41.0	27.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	59.0	47.0	19.0	304.0	17.0	155.0	1.0	188.0	41.0	19.0	25.0	212.0	278.0	106.0	92.0	75.0	63.0	178.0	27.0	54.0	60.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae	76.0	7.0	94.0	91.0	22.0	31.0	1.0	12.0	36.0	18.0	19.0	19.0	136.0	97.0	76.0	38.0	31.0	60.0	22.0	61.0	41.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae	27.0	17.0	25.0	135.0	8.0	42.0	1.0	42.0	7.0	35.0	1.0	4.0	45.0	21.0	7.0	120.0	61.0	162.0	9.0	32.0	6.0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Vulgatibacteraceae	21.0	34.0	66.0	24.0	34.0	18.0	10.0	24.0	25.0	20.0	19.0	10.0	38.0	35.0	18.0	25.0	35.0	50.0	12.0	25.0	21.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichales	33.0	46.0	8.0	12.0	41.0	48.0	16.0	17.0	22.0	39.0	31.0	18.0	15.0	27.0	1.0	32.0	27.0	53.0	9.0	14.0	1.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	1.0	1.0	1.0	1.0	1.0	268.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	43.0	45.0	102.0	161.0	9.0	6.0	1.0	1.0	1.0	16.0	3.0	1.0	26.0	41.0	31.0	65.0	32.0	88.0	15.0	25.0	41.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae	99.0	77.0	1216.0	206.0	16.0	95.0	139.0	27.0	91.0	82.0	18.0	19.0	129.0	100.0	146.0	25.0	20.0	56.0	18.0	26.0	37.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__	5.0	10.0	34.0	57.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	33.0	23.0	20.0	16.0	11.0	16.0	12.0	13.0	18.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17	71.0	63.0	24.0	1.0	34.0	111.0	1.0	1.0	27.0	52.0	36.0	49.0	236.0	135.0	82.0	136.0	107.0	254.0	159.0	300.0	270.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24	138.0	98.0	7.0	118.0	6.0	15.0	1.0	19.0	5.0	6.0	5.0	11.0	52.0	32.0	24.0	6.0	7.0	8.0	8.0	14.0	8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	199.0	1.0	7.0	66.0	13.0	41.0	1.0	12.0	26.0	23.0	47.0	134.0	50.0	61.0	37.0	76.0	62.0	90.0	12.0	33.0	12.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__Thermomicrobiaceae	20.0	18.0	23.0	123.0	13.0	16.0	1.0	4.0	7.0	1.0	8.0	23.0	16.0	14.0	8.0	25.0	26.0	23.0	8.0	22.0	23.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae	57.0	125.0	13.0	87.0	46.0	41.0	1.0	53.0	37.0	46.0	32.0	219.0	90.0	36.0	56.0	22.0	13.0	57.0	71.0	124.0	156.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__uncultured;f__uncultured	47.0	53.0	26.0	16.0	30.0	1.0	15.0	45.0	56.0	26.0	19.0	13.0	30.0	16.0	17.0	17.0	25.0	34.0	1.0	15.0	1.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	19.0	19.0	17.0	32.0	54.0	120.0	1.0	13.0	62.0	9.0	91.0	139.0	26.0	50.0	30.0	32.0	25.0	29.0	36.0	58.0	56.0
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Falkowbacteria;f__Candidatus_Falkowbacteria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	68.0	52.0	41.0	26.0	10.0	25.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae	1.0	8.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	13.0	1.0	21.0	189.0	91.0	60.0	47.0	42.0	73.0	45.0	107.0	95.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae	9.0	22.0	1.0	6.0	17.0	18.0	1.0	12.0	1.0	18.0	31.0	30.0	43.0	31.0	35.0	7.0	18.0	34.0	12.0	26.0	29.0
d__Bacteria;p__Firmicutes;c__Symbiobacteriia;o__Symbiobacteriales;f__Symbiobacteraceae	1.0	7.0	19.0	137.0	1.0	13.0	1.0	1.0	10.0	13.0	1.0	1.0	67.0	37.0	24.0	121.0	127.0	253.0	1.0	41.0	27.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__KIST-JJY010;f__KIST-JJY010	39.0	36.0	12.0	1.0	27.0	40.0	1.0	27.0	61.0	24.0	1.0	1.0	42.0	25.0	22.0	6.0	8.0	20.0	1.0	1.0	1.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae	1.0	10.0	87.0	1.0	1.0	38.0	1.0	1.0	14.0	35.0	9.0	1.0	21.0	28.0	43.0	44.0	17.0	69.0	1.0	11.0	13.0
Unassigned;__;__;__;__	78.0	189.0	18.0	112.0	204.0	45.0	1.0	48.0	62.0	37.0	13.0	1.0	51.0	38.0	18.0	45.0	35.0	65.0	52.0	170.0	165.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae	1.0	36.0	69.0	298.0	13.0	13.0	1.0	13.0	22.0	26.0	10.0	1.0	18.0	18.0	24.0	11.0	45.0	40.0	1.0	21.0	13.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae	89.0	185.0	67.0	16.0	97.0	79.0	1.0	49.0	58.0	62.0	66.0	118.0	48.0	48.0	24.0	29.0	53.0	85.0	40.0	145.0	196.0
d__Bacteria;p__Halanaerobiaeota;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae	13.0	18.0	32.0	114.0	4.0	1.0	1.0	1.0	4.0	5.0	1.0	5.0	15.0	18.0	8.0	16.0	8.0	8.0	13.0	19.0	14.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9	31.0	45.0	16.0	119.0	34.0	49.0	1.0	44.0	21.0	19.0	1.0	4.0	73.0	25.0	14.0	18.0	22.0	19.0	13.0	9.0	9.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b	11.0	20.0	1.0	19.0	10.0	26.0	1.0	19.0	24.0	21.0	44.0	185.0	58.0	63.0	40.0	49.0	45.0	100.0	28.0	58.0	68.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	43.0	1.0	1.0	1.0	12.0	35.0	1.0	14.0	1.0	15.0	16.0	10.0	38.0	31.0	17.0	1.0	1.0	9.0	19.0	23.0	25.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae	42.0	31.0	1.0	1.0	20.0	1.0	1.0	12.0	6.0	1.0	31.0	1.0	57.0	25.0	37.0	1.0	1.0	5.0	14.0	19.0	27.0
d__Bacteria;p__Latescibacterota;c__Latescibacterota;o__Latescibacterota;f__Latescibacterota	37.0	137.0	10.0	57.0	30.0	20.0	1.0	38.0	7.0	10.0	3.0	1.0	26.0	5.0	9.0	1.0	6.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae	11.0	63.0	30.0	59.0	31.0	22.0	1.0	14.0	15.0	37.0	22.0	77.0	40.0	56.0	28.0	94.0	20.0	71.0	34.0	140.0	96.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__uncultured;f__uncultured	23.0	58.0	10.0	16.0	46.0	26.0	1.0	21.0	9.0	24.0	19.0	24.0	37.0	21.0	8.0	1.0	6.0	10.0	12.0	29.0	55.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae	1.0	25.0	1.0	31.0	29.0	72.0	11.0	1.0	11.0	1.0	47.0	10.0	27.0	1.0	11.0	10.0	12.0	22.0	1.0	13.0	14.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;__	1.0	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	83.0	30.0	18.0	1.0	1.0	9.0	17.0	33.0	38.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured	92.0	22.0	83.0	43.0	24.0	58.0	1.0	45.0	31.0	41.0	60.0	57.0	81.0	87.0	40.0	80.0	64.0	102.0	17.0	38.0	27.0
d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae	1.0	1.0	7.0	152.0	1.0	1.0	1.0	1.0	6.0	5.0	3.0	7.0	49.0	49.0	34.0	130.0	54.0	130.0	45.0	79.0	91.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured	7.0	19.0	28.0	14.0	26.0	9.0	6.0	12.0	25.0	12.0	21.0	18.0	48.0	28.0	23.0	6.0	18.0	34.0	9.0	39.0	15.0
d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j;f__NB1-j	10.0	26.0	23.0	29.0	24.0	40.0	1.0	19.0	16.0	6.0	6.0	14.0	10.0	10.0	9.0	9.0	11.0	12.0	1.0	1.0	7.0
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordia;f__Limnochordia	78.0	39.0	115.0	868.0	11.0	46.0	1.0	4.0	44.0	51.0	1.0	54.0	7.0	23.0	5.0	17.0	8.0	4.0	1.0	1.0	12.0
d__Bacteria;p__Acidobacteriota;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25	72.0	180.0	5.0	14.0	12.0	34.0	1.0	32.0	14.0	8.0	1.0	1.0	59.0	16.0	23.0	1.0	1.0	9.0	1.0	1.0	1.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20	56.0	11.0	45.0	28.0	18.0	47.0	1.0	8.0	22.0	34.0	26.0	66.0	99.0	100.0	79.0	116.0	130.0	180.0	72.0	198.0	270.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured	31.0	54.0	11.0	87.0	35.0	19.0	6.0	28.0	23.0	18.0	1.0	14.0	25.0	25.0	21.0	10.0	4.0	15.0	11.0	5.0	19.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae	38.0	21.0	1.0	31.0	29.0	1.0	1.0	1.0	1.0	1.0	21.0	5.0	10.0	1.0	7.0	8.0	1.0	1.0	12.0	28.0	47.0
d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__BD2-11_terrestrial_group;f__BD2-11_terrestrial_group	51.0	67.0	19.0	54.0	29.0	24.0	1.0	23.0	12.0	26.0	25.0	7.0	33.0	13.0	26.0	38.0	17.0	42.0	9.0	34.0	12.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__	133.0	15.0	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	69.0	37.0	1.0	13.0	1.0	1.0	10.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordales;f__Limnochordaceae	25.0	81.0	137.0	760.0	1.0	1.0	1.0	3.0	1.0	50.0	1.0	1.0	88.0	80.0	40.0	34.0	63.0	111.0	14.0	20.0	13.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	1.0	18.0	23.0	187.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	8.0	10.0	16.0	24.0	9.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae	8.0	16.0	1.0	48.0	19.0	33.0	1.0	13.0	1.0	1.0	9.0	45.0	8.0	50.0	34.0	23.0	20.0	23.0	1.0	1.0	8.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae	18.0	17.0	1.0	13.0	19.0	1.0	1.0	10.0	1.0	1.0	7.0	3.0	37.0	15.0	15.0	1.0	1.0	1.0	10.0	22.0	20.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	36.0	20.0	7.0	18.0	22.0	21.0	1.0	22.0	17.0	22.0	16.0	38.0	27.0	17.0	7.0	42.0	17.0	66.0	1.0	11.0	11.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17	28.0	27.0	12.0	16.0	22.0	28.0	1.0	8.0	1.0	17.0	19.0	9.0	30.0	19.0	23.0	6.0	6.0	1.0	9.0	36.0	24.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__uncultured	16.0	1.0	37.0	1.0	1.0	1.0	10.0	1.0	1.0	13.0	20.0	1.0	1.0	1.0	1.0	25.0	20.0	23.0	1.0	13.0	1.0
