OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter	2415.0	1399.0	1521.0	505.0	3885.0	1430.0	571.0	812.0	952.0	1923.0	3045.0	2073.0	3052.0	2041.0	1632.0	1848.0	1754.0	2723.0	2843.0	5532.0	5973.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga	2552.0	886.0	1453.0	437.0	1097.0	1455.0	448.0	455.0	1194.0	1377.0	1437.0	1754.0	2664.0	1906.0	1461.0	1493.0	1330.0	2005.0	1405.0	2510.0	2721.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	3036.0	2847.0	3308.0	2828.0	2151.0	4031.0	1202.0	1472.0	2813.0	2359.0	1195.0	2783.0	3298.0	2337.0	1821.0	2683.0	2147.0	4316.0	649.0	1220.0	1409.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45	1308.0	1457.0	1098.0	1327.0	2807.0	1412.0	123.0	1129.0	1610.0	1982.0	2385.0	3242.0	1738.0	1506.0	1302.0	1638.0	1410.0	1999.0	1622.0	3242.0	2963.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured;g__uncultured	1302.0	1893.0	1231.0	2241.0	952.0	975.0	186.0	610.0	854.0	697.0	195.0	393.0	720.0	496.0	352.0	427.0	306.0	626.0	126.0	193.0	249.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	1126.0	860.0	1252.0	570.0	1233.0	1425.0	257.0	547.0	1026.0	903.0	968.0	1913.0	1618.0	1259.0	820.0	683.0	504.0	1096.0	545.0	1361.0	1238.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium	472.0	395.0	449.0	137.0	666.0	586.0	135.0	450.0	430.0	395.0	428.0	604.0	873.0	612.0	595.0	471.0	343.0	574.0	483.0	814.0	759.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	270.0	191.0	592.0	726.0	420.0	444.0	257.0	87.0	295.0	339.0	725.0	1234.0	289.0	224.0	194.0	184.0	167.0	244.0	190.0	372.0	375.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter	424.0	289.0	382.0	74.0	524.0	443.0	66.0	75.0	151.0	404.0	480.0	695.0	1656.0	1173.0	955.0	840.0	727.0	1219.0	989.0	2116.0	2028.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__uncultured	480.0	742.0	1042.0	358.0	431.0	785.0	102.0	550.0	1017.0	794.0	337.0	284.0	425.0	335.0	282.0	448.0	512.0	763.0	84.0	163.0	144.0
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66	279.0	1406.0	399.0	165.0	429.0	605.0	25.0	452.0	512.0	485.0	142.0	144.0	320.0	272.0	198.0	169.0	168.0	230.0	68.0	142.0	159.0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96	804.0	714.0	651.0	633.0	733.0	912.0	154.0	284.0	976.0	878.0	1090.0	979.0	730.0	545.0	450.0	561.0	435.0	704.0	417.0	790.0	855.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus	461.0	605.0	272.0	100.0	590.0	323.0	100.0	346.0	384.0	369.0	238.0	182.0	501.0	376.0	334.0	311.0	225.0	365.0	350.0	607.0	534.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae	2547.0	2784.0	1188.0	1324.0	2464.0	1824.0	229.0	896.0	596.0	1212.0	934.0	705.0	2689.0	2159.0	1486.0	754.0	599.0	981.0	891.0	2219.0	2091.0
