OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella	501.0	778.0	794.0	687.0	746.0	689.0	168.0	481.0	711.0	674.0	898.0	548.0	455.0	423.0	288.0	370.0	383.0	590.0	242.0	476.0	473.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;__	189.0	214.0	201.0	146.0	343.0	346.0	22.0	144.0	171.0	240.0	114.0	260.0	301.0	212.0	158.0	121.0	89.0	148.0	114.0	265.0	229.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	805.0	1008.0	710.0	607.0	1033.0	1031.0	313.0	385.0	906.0	704.0	1966.0	1953.0	945.0	824.0	701.0	484.0	477.0	702.0	444.0	822.0	813.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;__	165.0	144.0	130.0	134.0	216.0	128.0	66.0	98.0	149.0	154.0	274.0	151.0	269.0	185.0	152.0	116.0	94.0	165.0	211.0	340.0	334.0
d__Bacteria;__;__;__;__;__	410.0	579.0	405.0	355.0	462.0	270.0	42.0	277.0	263.0	295.0	276.0	103.0	548.0	376.0	311.0	341.0	231.0	490.0	265.0	519.0	475.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured	683.0	787.0	655.0	581.0	994.0	647.0	22.0	488.0	268.0	627.0	579.0	246.0	650.0	621.0	477.0	393.0	318.0	533.0	382.0	832.0	857.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__	397.0	633.0	236.0	205.0	657.0	445.0	1.0	285.0	222.0	301.0	348.0	322.0	557.0	395.0	295.0	107.0	99.0	239.0	240.0	429.0	419.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured	715.0	564.0	187.0	546.0	610.0	598.0	184.0	428.0	606.0	686.0	748.0	1084.0	1057.0	752.0	577.0	708.0	666.0	1020.0	430.0	976.0	970.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14	1892.0	2579.0	2280.0	1449.0	2580.0	2972.0	713.0	1214.0	2184.0	2155.0	2613.0	1535.0	1748.0	1449.0	1138.0	1307.0	1049.0	1790.0	1263.0	2430.0	2431.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	602.0	364.0	781.0	285.0	507.0	540.0	99.0	167.0	232.0	330.0	316.0	534.0	1648.0	1047.0	815.0	1061.0	745.0	1291.0	806.0	1721.0	1836.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;__	293.0	235.0	145.0	254.0	531.0	274.0	90.0	144.0	355.0	430.0	956.0	559.0	354.0	324.0	277.0	137.0	121.0	266.0	359.0	660.0	627.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium	261.0	23.0	261.0	54.0	203.0	40.0	79.0	6.0	60.0	205.0	344.0	788.0	220.0	213.0	119.0	225.0	151.0	338.0	490.0	806.0	712.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Stenotrophobacter	385.0	233.0	170.0	62.0	325.0	293.0	18.0	85.0	101.0	245.0	214.0	196.0	524.0	296.0	234.0	209.0	121.0	187.0	222.0	532.0	557.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__WD2101_soil_group	803.0	974.0	728.0	250.0	1411.0	888.0	100.0	678.0	413.0	1616.0	920.0	602.0	1656.0	1077.0	926.0	910.0	807.0	1170.0	1373.0	2719.0	2547.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella	689.0	187.0	465.0	130.0	453.0	374.0	79.0	160.0	264.0	352.0	429.0	576.0	504.0	344.0	397.0	206.0	167.0	331.0	277.0	560.0	659.0
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108	586.0	1738.0	692.0	367.0	868.0	770.0	187.0	857.0	1149.0	727.0	323.0	337.0	283.0	258.0	265.0	256.0	263.0	349.0	86.0	113.0	101.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans	16.0	1.0	39.0	1.0	36.0	12.0	1.0	12.0	15.0	23.0	41.0	63.0	624.0	440.0	348.0	329.0	289.0	516.0	289.0	456.0	525.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured	3056.0	3356.0	2190.0	1700.0	3372.0	2418.0	352.0	1287.0	825.0	1769.0	1332.0	982.0	3267.0	2346.0	1808.0	1314.0	1193.0	1878.0	1377.0	2744.0	2774.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722;g__AKYG1722	372.0	446.0	350.0	600.0	460.0	378.0	32.0	157.0	282.0	400.0	287.0	460.0	522.0	404.0	303.0	454.0	397.0	508.0	215.0	501.0	531.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	604.0	1064.0	358.0	340.0	1277.0	381.0	114.0	612.0	594.0	337.0	790.0	471.0	445.0	421.0	329.0	246.0	246.0	449.0	267.0	517.0	444.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__uncultured	753.0	1038.0	486.0	275.0	1169.0	851.0	69.0	853.0	683.0	920.0	968.0	932.0	703.0	580.0	541.0	336.0	350.0	597.0	302.0	612.0	671.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Novibacillus	78.0	93.0	271.0	340.0	1.0	25.0	1.0	1.0	1.0	29.0	1.0	1.0	178.0	162.0	110.0	110.0	67.0	189.0	45.0	104.0	108.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Intrasporangium	105.0	231.0	24.0	39.0	357.0	31.0	48.0	146.0	129.0	91.0	284.0	254.0	128.0	107.0	126.0	29.0	33.0	37.0	200.0	301.0	251.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	117.0	117.0	177.0	139.0	65.0	186.0	55.0	71.0	118.0	151.0	53.0	160.0	173.0	158.0	113.0	104.0	118.0	179.0	28.0	50.0	58.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085;g__S085	193.0	628.0	237.0	377.0	606.0	276.0	42.0	228.0	297.0	361.0	115.0	175.0	154.0	86.0	94.0	98.0	137.0	208.0	67.0	193.0	141.0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	432.0	285.0	239.0	217.0	278.0	225.0	7.0	140.0	112.0	119.0	135.0	57.0	380.0	228.0	192.0	172.0	127.0	187.0	195.0	373.0	349.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Ilumatobacter	286.0	209.0	77.0	136.0	347.0	417.0	62.0	109.0	240.0	229.0	226.0	539.0	292.0	186.0	167.0	184.0	139.0	211.0	119.0	229.0	197.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__uncultured	377.0	590.0	203.0	411.0	152.0	426.0	1.0	163.0	78.0	132.0	27.0	1.0	296.0	218.0	141.0	56.0	39.0	83.0	18.0	27.0	30.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pseudaminobacter	58.0	95.0	103.0	109.0	117.0	102.0	34.0	50.0	105.0	95.0	94.0	97.0	108.0	90.0	66.0	81.0	73.0	104.0	54.0	106.0	75.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola	176.0	90.0	216.0	179.0	214.0	152.0	112.0	120.0	162.0	136.0	290.0	249.0	246.0	190.0	185.0	340.0	240.0	467.0	214.0	243.0	251.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Steroidobacter	339.0	185.0	217.0	65.0	267.0	333.0	16.0	35.0	95.0	214.0	241.0	309.0	584.0	418.0	384.0	247.0	170.0	401.0	191.0	425.0	422.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;__	106.0	72.0	86.0	212.0	103.0	143.0	24.0	37.0	139.0	45.0	149.0	442.0	220.0	151.0	153.0	93.0	29.0	172.0	25.0	40.0	27.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Woeseiaceae;g__Woeseia	116.0	114.0	230.0	123.0	132.0	278.0	1.0	63.0	74.0	122.0	16.0	1.0	192.0	160.0	115.0	250.0	215.0	311.0	24.0	29.0	33.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Opitutus	245.0	195.0	133.0	62.0	208.0	208.0	25.0	81.0	127.0	237.0	193.0	469.0	750.0	335.0	322.0	229.0	176.0	303.0	337.0	720.0	709.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus	95.0	179.0	107.0	24.0	134.0	79.0	1.0	100.0	81.0	70.0	64.0	165.0	209.0	158.0	138.0	141.0	114.0	177.0	96.0	194.0	229.0
d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14;g__OLB14	139.0	273.0	68.0	159.0	208.0	134.0	36.0	120.0	97.0	86.0	73.0	96.0	100.0	96.0	92.0	80.0	75.0	108.0	36.0	65.0	88.0
d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136;g__Gitt-GS-136	243.0	400.0	190.0	247.0	362.0	180.0	91.0	293.0	165.0	353.0	450.0	234.0	204.0	106.0	133.0	147.0	174.0	220.0	86.0	223.0	169.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__uncultured	56.0	204.0	146.0	79.0	361.0	139.0	63.0	67.0	178.0	176.0	195.0	277.0	57.0	61.0	44.0	108.0	68.0	200.0	1.0	141.0	118.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaeraceae	489.0	427.0	257.0	113.0	358.0	339.0	44.0	161.0	146.0	237.0	254.0	351.0	887.0	568.0	507.0	407.0	354.0	634.0	482.0	1137.0	1030.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae;g__uncultured	75.0	75.0	49.0	30.0	86.0	71.0	33.0	32.0	44.0	25.0	157.0	117.0	102.0	96.0	63.0	54.0	40.0	72.0	63.0	105.0	104.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256;g__IMCC26256	260.0	498.0	306.0	194.0	368.0	381.0	33.0	253.0	256.0	298.0	93.0	107.0	277.0	217.0	176.0	128.0	85.0	226.0	68.0	97.0	76.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41	1058.0	923.0	394.0	654.0	368.0	424.0	49.0	372.0	311.0	195.0	117.0	40.0	455.0	305.0	233.0	185.0	201.0	253.0	80.0	237.0	248.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	258.0	420.0	292.0	256.0	376.0	383.0	118.0	151.0	196.0	205.0	210.0	111.0	316.0	272.0	201.0	219.0	141.0	287.0	81.0	166.0	142.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast	27.0	22.0	75.0	39.0	29.0	26.0	8.0	22.0	34.0	47.0	5.0	25.0	191.0	155.0	118.0	68.0	53.0	109.0	183.0	401.0	396.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus	142.0	96.0	269.0	170.0	68.0	207.0	61.0	60.0	168.0	154.0	14.0	81.0	95.0	50.0	51.0	101.0	129.0	193.0	16.0	19.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia	65.0	80.0	55.0	22.0	131.0	76.0	23.0	58.0	20.0	71.0	102.0	62.0	143.0	111.0	81.0	25.0	29.0	52.0	79.0	184.0	173.0
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group	439.0	573.0	416.0	1794.0	449.0	388.0	28.0	173.0	106.0	315.0	265.0	150.0	704.0	591.0	417.0	381.0	354.0	585.0	388.0	741.0	787.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	455.0	157.0	343.0	150.0	191.0	340.0	92.0	114.0	196.0	252.0	174.0	386.0	414.0	222.0	324.0	240.0	141.0	349.0	141.0	259.0	239.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces	284.0	349.0	186.0	138.0	394.0	378.0	95.0	119.0	528.0	394.0	669.0	610.0	192.0	157.0	120.0	90.0	71.0	116.0	112.0	218.0	216.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured	340.0	356.0	193.0	277.0	289.0	233.0	1.0	203.0	94.0	168.0	73.0	53.0	273.0	260.0	170.0	59.0	72.0	95.0	1.0	98.0	94.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13	76.0	134.0	109.0	269.0	130.0	79.0	15.0	85.0	76.0	72.0	29.0	25.0	93.0	91.0	65.0	48.0	29.0	67.0	6.0	46.0	31.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__uncultured	233.0	253.0	219.0	90.0	211.0	202.0	11.0	166.0	91.0	208.0	70.0	17.0	408.0	327.0	235.0	166.0	138.0	248.0	69.0	193.0	149.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32	1.0	1.0	1.0	1.0	73.0	1.0	1.0	1.0	1.0	25.0	103.0	98.0	1312.0	866.0	710.0	402.0	326.0	625.0	206.0	545.0	565.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured;g__uncultured	245.0	326.0	300.0	165.0	475.0	354.0	24.0	202.0	183.0	342.0	186.0	160.0	379.0	244.0	158.0	263.0	278.0	337.0	179.0	356.0	291.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__CCD24;f__CCD24;g__CCD24	204.0	322.0	219.0	254.0	315.0	239.0	48.0	101.0	120.0	130.0	190.0	244.0	382.0	308.0	224.0	91.0	105.0	152.0	115.0	255.0	220.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter	796.0	672.0	218.0	121.0	545.0	747.0	168.0	111.0	330.0	519.0	424.0	1000.0	1388.0	819.0	820.0	407.0	364.0	647.0	660.0	1272.0	1278.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1	323.0	493.0	165.0	208.0	327.0	160.0	15.0	190.0	106.0	119.0	115.0	54.0	195.0	167.0	97.0	101.0	102.0	123.0	100.0	157.0	197.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter	580.0	651.0	437.0	183.0	691.0	512.0	75.0	295.0	433.0	384.0	1053.0	810.0	512.0	372.0	299.0	335.0	312.0	413.0	244.0	567.0	528.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	186.0	24.0	89.0	142.0	105.0	99.0	52.0	1.0	103.0	87.0	198.0	317.0	97.0	72.0	60.0	81.0	73.0	105.0	31.0	60.0	63.0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25	398.0	342.0	224.0	133.0	194.0	241.0	1.0	130.0	143.0	129.0	34.0	71.0	130.0	89.0	48.0	82.0	64.0	99.0	28.0	37.0	35.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata	573.0	742.0	415.0	422.0	697.0	509.0	13.0	326.0	132.0	505.0	202.0	182.0	409.0	276.0	217.0	169.0	100.0	226.0	222.0	488.0	481.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__Aridibacter	164.0	67.0	118.0	17.0	60.0	103.0	38.0	12.0	56.0	106.0	84.0	255.0	172.0	75.0	51.0	47.0	12.0	18.0	78.0	156.0	177.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__uncultured	101.0	105.0	99.0	73.0	130.0	126.0	1.0	37.0	55.0	131.0	84.0	80.0	286.0	248.0	225.0	138.0	141.0	217.0	111.0	179.0	199.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Ohtaekwangia	148.0	57.0	58.0	14.0	101.0	125.0	13.0	35.0	65.0	105.0	88.0	157.0	473.0	255.0	238.0	304.0	214.0	483.0	194.0	464.0	484.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter	191.0	138.0	175.0	98.0	180.0	151.0	26.0	85.0	91.0	91.0	36.0	25.0	41.0	59.0	45.0	30.0	25.0	50.0	21.0	21.0	20.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium	175.0	128.0	125.0	98.0	163.0	301.0	52.0	67.0	173.0	145.0	99.0	180.0	107.0	84.0	74.0	66.0	40.0	52.0	29.0	74.0	60.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;g__TRA3-20	255.0	202.0	220.0	135.0	236.0	196.0	15.0	92.0	129.0	182.0	98.0	120.0	333.0	252.0	168.0	185.0	155.0	263.0	141.0	361.0	328.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium	385.0	179.0	27.0	92.0	212.0	399.0	1.0	55.0	148.0	170.0	229.0	786.0	325.0	235.0	181.0	244.0	71.0	125.0	87.0	149.0	124.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__AKIW781	137.0	144.0	108.0	126.0	432.0	100.0	1.0	72.0	99.0	194.0	413.0	478.0	166.0	174.0	136.0	102.0	103.0	146.0	333.0	634.0	637.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured	490.0	297.0	252.0	106.0	279.0	191.0	54.0	53.0	188.0	120.0	162.0	570.0	731.0	430.0	318.0	650.0	485.0	829.0	311.0	751.0	746.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae;g__Iamia	226.0	281.0	104.0	54.0	246.0	233.0	50.0	199.0	199.0	217.0	264.0	248.0	196.0	210.0	164.0	130.0	86.0	156.0	65.0	147.0	164.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	35.0	13.0	11.0	36.0	26.0	72.0	10.0	16.0	1.0	20.0	30.0	71.0	95.0	96.0	71.0	115.0	70.0	175.0	52.0	68.0	62.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__uncultured	99.0	42.0	55.0	26.0	81.0	76.0	24.0	31.0	75.0	83.0	151.0	180.0	103.0	80.0	71.0	53.0	42.0	71.0	126.0	168.0	190.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__uncultured	243.0	365.0	199.0	282.0	401.0	276.0	31.0	138.0	86.0	189.0	135.0	157.0	427.0	289.0	235.0	296.0	182.0	395.0	71.0	227.0	202.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	81.0	107.0	84.0	216.0	154.0	163.0	1.0	62.0	73.0	73.0	118.0	83.0	87.0	56.0	63.0	34.0	37.0	59.0	44.0	87.0	92.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Candidatus_Alysiosphaera	74.0	91.0	69.0	74.0	122.0	123.0	22.0	43.0	103.0	103.0	161.0	168.0	107.0	115.0	117.0	116.0	76.0	102.0	116.0	201.0	213.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;__	61.0	171.0	107.0	22.0	82.0	85.0	1.0	19.0	96.0	85.0	2.0	23.0	74.0	46.0	59.0	57.0	46.0	53.0	10.0	13.0	35.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	158.0	32.0	46.0	31.0	75.0	70.0	1.0	1.0	14.0	27.0	111.0	156.0	270.0	197.0	170.0	125.0	50.0	145.0	146.0	239.0	270.0
